BA,OA,District,Village/Site,Village Code,Site ID,AT-3 Date,LOT 
RCH,RCH,SIMDEGA,Khandanisan,376534,UVJHRCH00051,26-Feb-24,LOT-1
DNB,DNB,BOKARO,Chorganwa/Morpa,362359,UVJHDNB00058,27-Feb-24,LOT-1
RCH,RCH,SIMDEGA,Jenjrakani/ Chadrimunda,VCDM01702,UVJHRCH00176,02-Mar-24,LOT-1
DNB,DMK,DUMKA,Phuljori,369645,UVJHDMK00471,16-Feb-24,LOT-1
RCH,RCH,KHUNTI,Bara Sarle,375228,UVJHRCH00224,20-Feb-24,LOT-1
RCH,RCH,KHUNTI,Burhadih,375226,UVJHRCH00225,20-Feb-24,LOT-1
RCH,RCH,KHUNTI,Habudih,375234,UVJHRCH00370,20-Feb-24,LOT-1
RCH,RCH,Gumla,Brahmpur,376135,UVJHRCH00240,28-Feb-24,LOT-1
RCH,RCH,SIMDEGA,Chorbandu,376817,UVJHRCH00336,24-Feb-24,LOT-1
DNB,DNB,BOKARO,Khakhanda,362337,UVJHDNB00042,27-Feb-24,LOT-1
RCH,RCH,SIMDEGA,Chhotkaduil,376787,UVJHRCH00335,24-Feb-24,LOT-1
RCH,RCH,SIMDEGA,Bihabali/Taisar,VCDM01641,UVJHRCH00274,02-Mar-24,LOT-1
RCH,RCH,KHUNTI,OMTO,375231,UVJHRCH00406,20-Feb-24,LOT-1
RCH,RCH,KHUNTI,TOTADA,375224,UVJHRCH00408,20-Feb-24,LOT-1
RCH,RCH,Gumla,sipping,VCDM01833,UVJHRCH00179,28-Feb-24,LOT-1
RCH,RCH,SIMDEGA,Taisar,376533,UVJHRCH00223,26-Feb-24,LOT-1
RCH,RCH,SIMDEGA,Auga,376541,UVJHRCH00049,02-Mar-24,LOT-1
DNB,DMK,DUMKA,kanjiya,VCDM01716,UVJHDMK00577,29-Feb-24,LOT-1
DNB,DMK,DUMKA,koldhiya,VCDM01735,UVJHDMK00572,21-Feb-24,LOT-1
DNB,DMK,DUMKA,daulatpur,VCDM01677,UVJHDMK00466,29-Feb-24,LOT-1
RCH,DTJ,LATEHAR,Dakadiri,367429,UVJHDTJ00294,15-Feb-24,LOT-2
RCH,DTJ,LATEHAR,Karmatanr,367425,UVJHDTJ00302,15-Feb-24,LOT-2
RCH,DTJ,LATEHAR,Paharkocha,367183,UVJHDTJ00333,03-Mar-24,LOT-2
RCH,DTJ,LATEHAR,TURISOT,367531,UVJHDTJ00434,03-Mar-24,LOT-2
RCH,HZB,HAZARIBAGH,Sakarja,368607,UVJHHZB00255,24-Feb-24,LOT-2
RCH,DTJ,LATEHAR,Merua,VCDM01762,UVJHDTJ00335,03-Mar-24,LOT-2
RCH,HZB,HAZARIBAGH,Pathalgara,367620,UVJHHZB00265,24-Feb-24,LOT-2
RCH,DTJ,LATEHAR,Nawadih,366995,UVJHDTJ00219,15-Feb-24,LOT-2
RCH,DTJ,LATEHAR,Chungru,366996,UVJHDTJ00326,16-Feb-24,LOT-2
RCH,DTJ,LATEHAR,Harinamar,366982,UVJHDTJ00439,03-Mar-24,LOT-2
RCH,DTJ,LATEHAR,Tasu,367506,UVJHDTJ00438,03-Mar-24,LOT-2
RCH,DTJ,PALAMU,Bhanwardah,366240,UVJHDTJ00450,16-Feb-24,LOT-2
RCH,RCH,Gumla,Salkaia,376305,UVJHRCH00048,28-Feb-24,LOT-2
DNB,DMK,DUMKA,Simra,371589,UVJHDMK00450,28-Feb-24,LOT-2
DNB,DMK,DUMKA,Baghjopa,369759,UVJHDMK00301,15-Feb-24,LOT-2
DNB,DMK,DUMKA,khijurma,VCDM01731,UVJHDMK00643,15-Feb-24,LOT-2
DNB,DMK,DUMKA,Kalipathar,372152,UVJHDMK00405,29-Feb-24,LOT-2
DNB,DMK,DUMKA,Kaowadaw,VCDM01718,UVJHDMK00406,29-Feb-24,LOT-2
RCH,RCH,Gumla,Dewragani,375490,UVJHRCH00037,28-Feb-24,LOT-2
DNB,DNB,BOKARO,Palu,362354,UVJHDNB00050,27-Feb-24,LOT-2
DNB,DNB,BOKARO,Haradgada,362348,UVJHDNB00051,27-Feb-24,LOT-2
DNB,DMK,DUMKA,Pathrachti,VCDM01792,UVJHDMK00152,19-Feb-24,LOT-2
DNB,DMK,DUMKA,Pharkola,VCDM01795,UVJHDMK00290,19-Feb-24,LOT-2
DNB,DMK,DUMKA,Chakaltiur,VCDM01648,UVJHDMK00291,19-Feb-24,LOT-2
RCH,RCH,Gumla,Labga,375466,UVJHRCH00395,28-Feb-24,LOT-2
DNB,DMK,DUMKA,Kalipurranga,371641,UVJHDMK00289,19-Feb-24,LOT-2
DNB,DMK,DUMKA,shitalpur,VCDM01825,UVJHDMK00460,15-Feb-24,LOT-2
RCH,RCH,SIMDEGA,Urmu,376778,UVJHRCH00035,24-Feb-24,LOT-2
RCH,RCH,KHUNTI,Kadaldih,375352,UVJHRCH00250,20-Feb-24,LOT-2
RCH,RCH,KHUNTI,Kulburu,375359,UVJHRCH00418,20-Feb-24,LOT-2
RCH,RCH,SIMDEGA,Khandanisan,376534,UVJHRCH00051,26-Feb-24,LOT-2
DNB,DNB,BOKARO,Chorganwa/Morpa,362359,UVJHDNB00058,27-Feb-24,LOT-2
RCH,RCH,SIMDEGA,Jenjrakani/ Chadrimunda,VCDM01702,UVJHRCH00176,02-Mar-24,LOT-2
DNB,DMK,DUMKA,Phuljori,369645,UVJHDMK00471,16-Feb-24,LOT-2
RCH,RCH,KHUNTI,Bara Sarle,375228,UVJHRCH00224,20-Feb-24,LOT-2
RCH,RCH,KHUNTI,Burhadih,375226,UVJHRCH00225,20-Feb-24,LOT-2
RCH,RCH,KHUNTI,Habudih,375234,UVJHRCH00370,20-Feb-24,LOT-2
RCH,RCH,Gumla,Brahmpur,376135,UVJHRCH00240,28-Feb-24,LOT-2
RCH,RCH,SIMDEGA,Chorbandu,376817,UVJHRCH00336,24-Feb-24,LOT-2
DNB,DNB,BOKARO,Khakhanda,362337,UVJHDNB00042,27-Feb-24,LOT-2
RCH,RCH,SIMDEGA,Chhotkaduil,376787,UVJHRCH00335,24-Feb-24,LOT-2
RCH,RCH,SIMDEGA,Bihabali/Taisar,VCDM01641,UVJHRCH00274,02-Mar-24,LOT-2
RCH,RCH,KHUNTI,OMTO,375231,UVJHRCH00406,20-Feb-24,LOT-2
